Wavelength,Sample,Letter,mean_STD,mean_RAW,dataset_Name,ID
940,23,C,0.9707296766984671,0.17474377138159491,VIE,VIE_23_C
940,24,A,0.996198135529571,0.47806762192211055,VIE,VIE_24_A
940,24,C,0.9829782509434578,0.2073918720530844,VIE,VIE_24_C
940,25,A,0.9931785054169798,0.5220165964262901,VIE,VIE_25_A
940,25,C,0.9766736512541734,0.1586665433869403,VIE,VIE_25_C
940,26,A,0.9935607978282903,0.5988753375231342,VIE,VIE_26_A
940,26,C,0.986470568542636,0.18243199780866431,VIE,VIE_26_C
940,27,A,0.9891609476269911,0.530254382797202,VIE,VIE_27_A
940,27,C,0.9792701963475103,0.1802493555910209,VIE,VIE_27_C
940,28,A,0.9934301616091757,0.5244001184579673,VIE,VIE_28_A
940,28,C,0.9498574444249231,0.1955851666276823,VIE,VIE_28_C
940,29,B,0.9825185566432869,0.17114688873431907,VIE,VIE_29_B
940,30,F,0.9905695268173632,0.13819205314538202,VIE,VIE_30_F
941,1,A,0.9705192518800996,0.4778850449477287,VIE,VIE_1_A
941,1,C,0.9584799503085185,0.1764782262503864,VIE,VIE_1_C
941,2,A,0.9866361041659146,0.5393804205079761,VIE,VIE_2_A
941,2,C,0.9823327696284514,0.38964730953317844,VIE,VIE_2_C
941,3,A,0.9737377795508069,0.5017768426010002,VIE,VIE_3_A
941,3,C,0.9705971064071582,0.2195937510589462,VIE,VIE_3_C
941,4,A,0.9842650529282099,0.45533744337014964,VIE,VIE_4_A
941,4,C,0.9498658786602944,0.2091020317590505,VIE,VIE_4_C
941,5,A,0.984952851829986,0.4312414808857182,VIE,VIE_5_A
941,5,C,0.9653583451520028,0.1686474464614081,VIE,VIE_5_C
941,6,A,0.9919275052035553,0.495311634473549,VIE,VIE_6_A
941,6,C,0.9676089817189535,0.167875111599965,VIE,VIE_6_C
941,7,A,0.9863771542438812,0.44889647430555607,VIE,VIE_7_A
941,7,C,0.9807668650143648,0.1784776571856548,VIE,VIE_7_C
941,8,A,0.9739204687367934,0.42045506333622185,VIE,VIE_8_A
941,8,C,0.9875943033380417,0.1848396288622579,VIE,VIE_8_C
941,9,A,0.9820932831177658,0.4974808447434428,VIE,VIE_9_A
941,9,C,0.9856429759407463,0.1742899787207997,VIE,VIE_9_C
941,10,A,0.9770167653854772,0.5364837228296012,VIE,VIE_10_A
941,10,C,0.9521153675583336,0.1554771075709555,VIE,VIE_10_C
941,11,A,0.9938354487896328,0.47593684323723234,VIE,VIE_11_A
941,11,C,0.9704061992491028,0.2042664770302893,VIE,VIE_11_C
941,12,A,0.9815361368032407,0.5284059341098593,VIE,VIE_12_A
941,12,C,0.9518437956068307,0.154274282976709,VIE,VIE_12_C
941,13,A,0.9914946175337088,0.43297548154822946,VIE,VIE_13_A
941,13,C,0.9495303228948078,0.186874569073722,VIE,VIE_13_C
941,14,A,0.9875052826383598,0.5217733995130059,VIE,VIE_14_A
941,14,C,0.9730171322492817,0.1573216881521813,VIE,VIE_14_C
941,15,A,0.9792063725617743,0.4895632292033335,VIE,VIE_15_A
941,15,C,0.9759227642192104,0.1648144069244189,VIE,VIE_15_C
941,16,A,0.9869792513885156,0.5038068900487065,VIE,VIE_16_A
941,16,C,0.9618743973245512,0.1702986029517023,VIE,VIE_16_C
941,17,A,0.9852964794924247,0.5595713178235603,VIE,VIE_17_A
941,17,C,0.9632135924032901,0.1640898283763699,VIE,VIE_17_C
941,18,A,0.9849332205857642,0.5210558316211541,VIE,VIE_18_A
941,18,C,0.9487702030905703,0.1901341697827058,VIE,VIE_18_C
941,19,A,0.9962840448523008,0.48561077078836773,VIE,VIE_19_A
941,19,C,0.9575857268679046,0.1963396292080363,VIE,VIE_19_C
941,20,A,0.9936377815012742,0.522887367713845,VIE,VIE_20_A
941,20,C,0.9710798775869209,0.1940491458237236,VIE,VIE_20_C
