Wavelength	MORB100148.asd
396	 2,31298381775014E-02 
397	 1,99530628620586E-02 
398	 2,33856057955269E-02 
399	 2,65846078649513E-02 
400	 1,76147527357982E-02 
401	 1,33120034930584E-02 
402	 1,57133084990041E-02 
403	 1,27719762532723E-02 
404	 0,011179235345118 
405	 1,48861052335023E-02 
406	 1,32568690967639E-02 
407	 9,42561196649955E-03 
408	 1,29003869931991E-02 
409	 1,59369119753486E-02 
410	 1,63066847687068E-02 
411	 0,014669813838971 
412	 1,26511324816764E-02 
413	 0,011859526650893 
414	 1,51010867127232E-02 
415	 1,92671447133141E-02 
416	 1,49342965869534E-02 
417	 1,43730367856133E-02 
418	 1,96075246852553E-02 
419	 1,05054200978763E-02 
420	-9,3609198147546E-04 
421	 2,58204950374174E-03 
422	 6,83734350360862E-03 
423	 8,05230325014099E-03 
424	 4,25068531027188E-03 
425	 4,7813034369168E-03 
426	 1,35813580607813E-02 
427	 1,43286440377544E-02 
428	 1,00129388184532E-02 
429	 9,57376791375113E-03 
430	 9,28499680335677E-03 
431	 8,52874437480318E-03 
432	 8,16967287778508E-03 
433	 9,3503498491554E-03 
434	 1,27442568752459E-02 
435	 1,36896339924194E-02 
436	 0,0130003639043 
437	 1,55098771305921E-02 
438	 0,015556015589163 
439	 1,21214594475032E-02 
440	 1,31414181536146E-02 
441	 1,57896038479456E-02 
442	 1,55959398345928E-02 
443	 1,55286780592307E-02 
444	 1,54819918061163E-02 
445	 1,27483905875328E-02 
446	 1,04246213901958E-02 
447	 1,06051075257268E-02 
448	 1,34569990508068E-02 
449	 1,64290617349101E-02 
450	 1,51033092128437E-02 
451	 1,28529493698781E-02 
452	 1,14893365259215E-02 
453	 1,42736494952534E-02 
454	 1,52728513119862E-02 
455	 9,5758100284621E-03 
456	 1,00356399904288E-02 
457	 1,55775307317561E-02 
458	 1,68313434651111E-02 
459	 1,64802156879218E-02 
460	 1,55973998832858E-02 
461	 1,48155438987156E-02 
462	 1,45460917732339E-02 
463	 1,51689930479724E-02 
464	 1,51940295240029E-02 
465	 1,42222814985893E-02 
466	 1,21511755271463E-02 
467	 1,09952579912274E-02 
468	 1,20710538284528E-02 
469	 1,43131580965296E-02 
470	 1,63912211505488E-02 
471	 1,62808699946659E-02 
472	 1,48800399437904E-02 
473	 1,31206809295826E-02 
474	 1,38120646013211E-02 
475	 1,44658318545485E-02 
476	 1,26044426691346E-02 
477	 1,18055302251046E-02 
478	 1,24864459918201E-02 
479	 1,36518516389295E-02 
480	 1,51363296297075E-02 
481	 1,65071664466952E-02 
482	 1,64843396474731E-02 
483	 1,52056625828499E-02 
484	 1,30591321879306E-02 
485	 0,011284896617933 
486	 1,05472957192124E-02 
487	 1,14064821261292E-02 
488	 1,32060187115388E-02 
489	 1,52118805719241E-02 
490	 1,56085829003061E-02 
491	 1,46319173350306E-02 
492	 1,33965792672078E-02 
493	 1,29947464684594E-02 
494	 1,34310071705708E-02 
495	 1,18804997367454E-02 
496	 1,03571333954262E-02 
497	 1,12988978614838E-02 
498	 1,25757045192904E-02 
499	 1,36993737178041E-02 
500	 1,51029376640008E-02 
501	 0,015294011555394 
502	 1,38061955906779E-02 
