Wavelength	ABBE00477.asd
558	 2,06102341435558E-02 
559	 2,07961310137062E-02 
560	 2,00631810754199E-02 
561	 2,01880099612201E-02 
562	 2,15047019117113E-02 
563	 2,15617332746546E-02 
564	 2,06645777461551E-02 
565	 1,95083754252465E-02 
566	 1,97981362902866E-02 
567	 2,12765423499822E-02 
568	 2,13136787114399E-02 
569	 2,10502621418277E-02 
570	 2,12466877291373E-02 
571	 2,11605974809072E-02 
572	 2,08240491489237E-02 
573	 0,020472953653283 
574	 2,03448682275676E-02 
575	 2,06141763014499E-02 
576	 2,14702552477234E-02 
577	 2,26228533232725E-02 
578	 0,023718873417356 
579	 2,42329769247082E-02 
580	 2,39374829220406E-02 
581	 2,23790953813855E-02 
582	 2,17676805997833E-02 
583	 0,023154454011492 
584	 2,36631921237968E-02 
585	 2,36681648047714E-02 
586	 2,45811629005916E-02 
587	 2,49941894840525E-02 
588	 2,46663318162194E-02 
589	 2,44400258999159E-02 
590	 2,45055036047748E-02 
591	 2,49851481078684E-02 
592	 2,56119502954797E-02 
593	 2,59767700746321E-02 
594	 2,50764528577407E-02 
595	 2,46132112272848E-02 
596	 2,52324213005369E-02 
597	 2,53337683773934E-02 
598	 2,49807131800301E-02 
599	 2,45245519317352E-02 
600	 2,41738850213618E-02 
601	 2,41687131293588E-02 
602	 2,50820237405149E-02 
603	 2,58605464527009E-02 
604	 2,56626904398271E-02 
605	 2,49917919159492E-02 
606	 2,42963028021422E-02 
607	 2,44474893705344E-02 
608	 2,43462356957542E-02 
609	 2,37750608865769E-02 
610	 2,41316452329833E-02 
611	 2,44481870877643E-02 
612	 2,34191474069709E-02 
613	 2,25325208052325E-02 
614	 2,22510426570583E-02 
615	 2,27884433831619E-02 
616	 2,32487384511709E-02 
617	 2,30692172611602E-02 
618	 2,29237307911468E-02 
619	 0,02282316887718 
620	 2,25640276341621E-02 
621	 2,25280565600865E-02 
622	 2,27158533879542E-02 
623	 2,24379490180659E-02 
624	 0,022253043443997 
625	 2,27323181834073E-02 
626	 2,25256753454032E-02 
627	 2,19876454053803E-02 
628	 2,30882316927722E-02 
629	 2,38274813958163E-02 
630	 2,33332107186078E-02 
631	 2,33827867004975E-02 
632	 2,38414172653872E-02 
633	 2,41761925084988E-02 
634	 2,39853701440415E-02 
635	 0,02343649118847 
636	 2,37760222775636E-02 
637	 2,42904135811107E-02 
638	 2,43957033574987E-02 
639	 2,51631412859733E-02 
640	 2,62213194239497E-02 
641	 0,026170391674689 
642	 2,62299376515258E-02 
643	 2,67070903881407E-02 
644	 2,62997252295667E-02 
645	 2,57769809378013E-02 
646	 2,62686346392799E-02 
647	 2,62505383966648E-02 
648	 2,57450578730104E-02 
649	 2,61935454739881E-02 
650	 2,68032756694103E-02 
651	 2,69755371384684E-02 
652	 2,64997844368194E-02 
653	 0,025653556628669 
654	 2,50535220595429E-02 
655	 2,44176492180721E-02 
656	 2,38215546289456E-02 
657	 2,39947754892931E-02 
658	 2,40592612321661E-02 
659	 2,31109052903489E-02 
660	 2,23553026572513E-02 
661	 2,20418420795049E-02 
662	 2,21137625493368E-02 
663	 2,20602154773703E-02 
664	 2,16016837115349E-02 
665	 2,09010591210262E-02 
666	 2,03016990237851E-02 
667	 2,02941826284739E-02 
668	 2,01648111854529E-02 
669	 1,99236971736872E-02 
670	 2,05480046188414E-02 
671	 2,09217798806366E-02 
672	 2,02416913525332E-02 
673	 2,02714231063354E-02 
674	 2,08167151076298E-02 
675	 2,06978558903106E-02 
676	 2,03215049064155E-02 
677	 1,99357776407205E-02 
678	 2,01531404836426E-02 
679	 0,020536478859649 
680	 2,05083022407479E-02 
681	 0,020092489164683 
682	 1,96781648137133E-02 
683	 0,020468472086646 
684	 2,13702100299193E-02 
685	 2,16849382983075E-02 
686	 2,13694895623634E-02 
687	 2,12482868234725E-02 
688	 2,28259370405491E-02 
689	 2,38530476006378E-02 
690	 2,39934695112206E-02 
691	 2,49884751210641E-02 
692	 2,64991053290696E-02 
693	 2,81581661856015E-02 
694	 0,029992684420008 
695	 3,21664950831767E-02 
696	 3,51117036886476E-02 
697	 3,82885297274759E-02 
698	 4,15494755045309E-02 
699	 4,54459746394456E-02 
700	 4,97938494535402E-02 
701	 5,42932150763205E-02 
702	 5,93904214001276E-02 
703	 6,49816831990329E-02 
704	 7,05569961353745E-02 
705	 7,58338242454285E-02 
706	 8,07118481453239E-02 
707	 8,62008793621097E-02 
708	 9,16923347707472E-02 
709	 9,57549682785931E-02 
710	 0,100232357723782 
711	 0,105429724337559 
712	 0,110035082660935 
713	 0,114026107285234 
714	 0,117472312920283 
715	 0,121005388995793 
716	 0,124576442738347 
717	 0,12771852731101 
718	 0,130573133341812 
719	 0,133141313611226 
720	 0,135103475660261 
721	 0,137104313663702 
722	 0,13996480361593 
723	 0,142012160413758 
724	 0,143256496892552 
725	 0,145139120715924 
726	 0,147049476934537 
727	 0,148602291250758 
728	 0,149873251411978 
729	 0,150907013345283 
730	 0,151753690801047 
731	 0,152669591194012 
732	 0,153703095550049 
733	 0,154645995753154 
734	 0,155442224269468 
735	 0,156061082217762 
736	 0,156700194101075 
737	 0,157355158945336 
738	 0,157893600534354 
739	 0,158457496272964 
740	 0,159079448919529 
741	 0,159624375722265 
742	 0,160088105790351 
743	 0,160481226710113 
744	 0,160752355794832 
745	 0,160974439460051 
746	 0,161383023643758 
747	 0,161805954956494 
748	 0,162151502491332 
749	 0,162511193375672 
750	 0,162770056816352 
751	 0,162734889972685 
752	 0,162827496234791 
753	 0,163099346003019 
754	 0,163201512486687 
755	 0,163459578879993 
756	 0,164045398747188 
757	 0,164158019800564 
758	 0,164137497875987 
759	 0,16499177286558 
760	 0,165334503833476 
761	 0,16495045917962 
762	 0,165077007599385 
763	 0,16550248159523 
764	 0,165946363883294 
765	 0,166104909436253 
766	 0,166115082445855 
767	 0,166576208261493 
768	 0,166705391994309 
769	 0,166358354630429 
770	 0,166589279778381 
771	 0,167106806534132 
772	 0,167455557124551 
773	 0,167348094481959 
774	 0,16707412073954 
775	 0,167826579039672 
776	 0,16819388984193 
777	 0,167600977487169 
778	 0,167553538146823 
779	 0,167908945153455 
780	 0,168198569787606 
781	 0,168557219600023 
782	 0,168886563386846 
783	 0,168815117174219 
784	 0,168663808005927 
785	 0,168679204504902 
786	 0,169004398220815 
787	 0,169340394188454 
788	 0,169107943218778 
789	 0,169120491041866 
790	 0,169431702978444 
791	 0,169154657235388 
792	 0,168904799334061 
793	 0,169154637177672 
794	 0,169245649262046 
795	 0,169230033992466 
796	 0,169477900991896 
797	 0,169565421807415 
798	 0,169425056539144 
799	 0,169445003616582 
800	 0,169543228949174 
801	 0,169625018123907 
802	 0,169688377018517 
803	 0,169842704881461 
804	 0,170466572755994 
805	 0,170590569565356 
806	 0,170061315396324 
807	 0,170205577591087 
808	 0,170630851578897 
809	 0,170808484104104 
810	 0,170693765226523 
811	 0,170543408937667 
812	 0,171166596299926 
813	 0,171529967761102 
814	 0,171321693230974 
815	 0,171540307600276 
816	 0,171970430975591 
817	 0,172255537246725 
818	 0,172482733020479 
819	 0,172660364811292 
820	 0,172774341737785 
821	 0,172935781213555 
822	 0,173202029690759 
823	 0,173542408700808 
824	 0,173850552374334 
825	 0,17400165676592 
826	 0,174171302711396 
827	 0,174401259599307 
828	 0,174708475719873 
829	 0,174833168659262 
830	 0,174725619458581 
831	 0,17507274359283 
832	 0,175463488283353 
833	 0,175250301810574 
834	 0,17535792939086 
835	 0,175832687411904 
836	 0,176095192955692 
837	 0,176008266976865 
838	 0,175668859212711 
839	 0,176350981601617 
840	 0,177319185967017 
841	 0,177354779274934 
842	 0,177075723239734 
843	 0,176788462963275 
844	 0,176954164407851 
845	 0,1772173033847 
846	 0,17737666493496 
847	 0,177574981029786 
848	 0,177591684934856 
849	 0,177116955258668 
850	 0,17680165645726 
851	 0,176795729461566 
852	 0,17694206136319 
853	 0,177188391458488 
854	 0,177454229477369 
855	 0,177488627008488 
856	 0,177514406194488 
857	 0,177869012755493 
858	 0,177707133103748 
859	 0,177181448048826 
860	 0,177398725953044 
861	 0,177938483662316 
862	 0,178501249293597 
863	 0,178680172665069 
864	 0,178603724898691 
865	 0,178515946944186 
866	 0,178811250110225 
867	 0,179292090919668 
868	 0,179015977097543 
869	 0,17880754858262 
870	 0,179080673067454 
871	 0,179737270412928 
872	 0,180334167363313 
873	 0,180374137166214 
874	 0,180463648352533 
875	 0,180703621930848 
876	 0,180969014210199 
877	 0,181208042985323 
878	 0,181415450533508 
879	 0,181713035016427 
880	 0,182124143539896 
881	 0,182618645625441 
882	 0,182316425953929 
883	 0,181608375039414 
884	 0,181939805656765 
885	 0,182532336898162 
886	 0,183045855870942 
887	 0,183271613309155 
888	 0,183242401674018 
889	 0,183044067057726 
890	 0,183011581162542 
891	 0,183307694702051 
892	 0,184159602713297 
893	 0,184736712801131 
894	 0,184692512142908 
895	 0,18392808999739 
896	 0,183402624528751 
897	 0,183801193159075 
898	 0,184023091759136 
899	 0,184119675892109 
900	 0,184504566910768 
901	 0,184723946430839 
902	 0,18485028114469 
903	 0,185752601127638 
904	 0,186137726466631 
905	 0,185370864596236 
906	 0,185237197884554 
907	 0,185356358836869 
908	 0,184878612642729 
909	 0,184629044371218 
910	 0,184760577221334 
911	 0,185123950580653 
912	 0,185338554271879 
913	 0,185277822682179 
914	 0,185490576148733 
915	 0,185687267362057 
916	 0,185557508005324 
917	 0,186494691454747 
918	 0,187723461626283 
919	 0,186525235213756 
920	 0,185830293781424 
921	 0,186419910772564 
922	 0,186668625325108 
923	 0,18691069530513 
924	 0,187277718375225 
925	 0,185635727278133 
926	 0,183620765666717 
927	 0,184755959180991 
928	 0,184929399474694 
929	 0,183851757836727 
930	 0,185029378504532 
931	 0,186059680641145 
932	 0,185661577862123 
933	 0,185685191472167 
934	 0,18538571209288 
935	 0,183663219197105 
936	 0,183339256034648 
937	 0,184220651582786 
938	 0,183919674259003 
939	 0,18350333528337 
940	 0,183179590114199 
941	 0,182093565760125 
942	 0,181106699287593 
943	 0,180944620515874 
944	 0,180610963952849 
945	 0,179773866321062 
946	 0,178096163194589 
947	 0,177493679398366 
948	 0,178142432733796 
949	 0,178577474025277 
950	 0,178005478780221 
951	 0,176305507197984 
952	 0,176013949431655 
953	 0,176158859785671 
954	 0,17526117978973 
955	 0,174110334257349 
956	 0,173018129022513 
957	 0,172270936299461 
958	 0,17212506622654 
959	 0,172496937791696 
960	 0,172789950799136 
961	 0,171919049116695 
962	 0,169494597415099 
963	 0,169309959293069 
964	 0,169989912673739 
965	 0,168613183654065 
966	 0,168655840777139 
967	 0,170003260032008 
968	 0,169668909412212 
969	 0,169079201168654 
970	 0,168837640638552 
971	 0,168880455752646 
972	 0,168961555531611 
973	 0,168816624424752 
974	 0,16788769764463 
975	 0,167667668531768 
976	 0,170976965862384 
977	 0,171569929358798 
978	 0,168874374186969 
979	 0,167272368678513 
980	 0,166629075508968 
981	 0,167106256604675 
982	 0,16941342103766 
983	 0,17109957994358 
984	 0,169941946414994 
985	 0,170243777528536 
986	 0,171450387963488 
987	 0,170843604737426 
988	 0,172366476076674 
989	 0,175285283974742 
990	 0,172954849763163 
991	 0,17046086812239 
992	 0,170657612683677 
993	 0,172787043580328 
994	 0,174400896517299 
995	 0,17330887043515 
996	 0,173820743263501 
997	 0,175418853696322 
998	 0,175549421735126 
999	 0,176026725933262 
1000	 0,176621037049771 
1001	 0,17439779865153 
1002	 0,174386212586551 
1003	 0,178381558179926 
1004	 0,181170054121959 
1005	 0,181053364546578 
1006	 0,177462180147065 
1007	 0,177746679343395 
1008	 0,181054089023521 
1009	 0,183423417641972 
1010	 0,183533238796574 
1011	 0,181995933648424 
1012	 0,182315545619572 
1013	 0,183794575814628 
1014	 0,185803937687493 
1015	 0,186838260196066 
1016	 0,186197379464454 
1017	 0,183910153954098 
1018	 0,184246770047241 
1019	 0,187100920925551 
1020	 0,191096364785129 
1021	 0,191740561140648 
1022	 0,189430047822394 
1023	 0,188343876169817 
1024	 0,189765986697867 
1025	 0,192621522747789 
1026	 0,188933529737896 
1027	 0,186869176724232 
1028	 0,19082197251243 
1029	 0,190844370458741 
1030	 0,19036015236626 
1031	 0,194089999802325 
1032	 0,194081740560222 
1033	 0,192008226523631 
1034	 0,194312814429826 
1035	 0,195744821851495 
1036	 0,195697064095378 
1037	 0,198021594961588 
1038	 0,196789425121863 
1039	 0,191001159429601 
1040	 0,18987273653747 
1041	 0,19201170545553 
1042	 0,195814755665531 
1043	 0,202233738032373 
1044	 0,20769987028845 
1045	 0,207631150559588 
1046	 0,201071427920215 
1047	 0,19362878472535 
1048	 0,198074565251893 
1049	 0,202775853779205 
1050	 0,202687415902866 
1051	 0,192306251638761 
1052	 0,188912653637833 
1053	 0,198968222705275 
1054	 0,205757461703129 
1055	 0,206940539084774 
1056	 0,202545904322525 
1057	 0,20524914553545 
1058	 0,206593870178636 
1059	 0,193573239512373 
1060	 0,196893875017902 
1061	 0,209889332511904 
1062	 0,201576949331258 
1063	 0,199970991644852 
1064	 0,208244215313835 
1065	 0,207117110573655 
1066	 0,202992002597195 
1067	 0,199839404673935 
1068	 0,203450808992385 
1069	 0,204102619379181 
1070	 0,195518746435882 
1071	 0,190691162041385 
1072	 0,191324171573528 
1073	 0,197365540882794 
1074	 0,205529899149042 
1075	 0,209337135932961 
