Wavelength	GRA-VIE-00145.asd
739	 0,144826747743665 
740	 0,145311834696936 
741	 0,145608834026993 
742	 0,145832669956095 
743	 0,146125287307594 
744	 0,146435804500292 
745	 0,146762621107872 
746	 0,147123816007978 
747	 0,147505050858497 
748	 0,147859354912436 
749	 0,147907458416196 
750	 0,147926644255169 
751	 0,148382558136892 
752	 0,1488935574039 
753	 0,149294543661047 
754	 0,149393914510172 
755	 0,14953468077986 
756	 0,149956926942136 
757	 0,150403932322027 
758	 0,150763399428537 
759	 0,150917708543487 
760	 0,150854820257385 
761	 0,150696227247782 
762	 0,150948996925496 
763	 0,151366065797831 
764	 0,151684759239117 
765	 0,151953037328119 
766	 0,152178608142162 
767	 0,152376722011129 
768	 0,15258539953765 
769	 0,152810907103913 
770	 0,153012360516252 
771	 0,153076636551661 
772	 0,152890998237203 
773	 0,153060936922396 
774	 0,153589064605382 
775	 0,154043582291594 
776	 0,154401947902149 
777	 0,154625310940028 
778	 0,154640588409745 
779	 0,154701004264276 
780	 0,155183940291888 
781	 0,155273923754451 
782	 0,154967307920737 
783	 0,155046026912691 
784	 0,15531911415412 
785	 0,155648643042034 
786	 0,155998102889558 
787	 0,156287391542895 
788	 0,156389385368917 
789	 0,156676750389293 
790	 0,157103898872971 
791	 0,156974377842877 
792	 0,156831784032328 
793	 0,157095263262314 
794	 0,157160086071978 
795	 0,157237582420455 
796	 0,158026017738847 
797	 0,158564746658772 
798	 0,158586527027374 
799	 0,158570934219454 
800	 0,158542007872361 
801	 0,158517003658089 
802	 0,158652663459003 
803	 0,158955110362452 
804	 0,159405697322581 
805	 0,159653461486933 
806	 0,159603491323728 
807	 0,159596760868265 
808	 0,159673021136672 
809	 0,159856041657855 
810	 0,160414590808429 
811	 0,161056751524564 
812	 0,160823655541576 
813	 0,160695101105859 
814	 0,161051661220782 
815	 0,161445275764935 
816	 0,161710687106105 
817	 0,161705084934358 
818	 0,161575463782222 
819	 0,161542087822711 
820	 0,162151686866425 
821	 0,162575026718067 
822	 0,162502352334175 
823	 0,162816627445562 
824	 0,163148520599537 
825	 0,162930068162349 
826	 0,162933999011262 
827	 0,163156715366003 
828	 0,162911621357078 
829	 0,162935211175196 
830	 0,163517272821341 
831	 0,163869137158091 
832	 0,163974647066721 
833	 0,163940021923912 
834	 0,16407193719242 
835	 0,164401986652252 
836	 0,164778826792849 
837	 0,164878130707589 
838	 0,164579166369514 
839	 0,164379026348881 
840	 0,164444642141831 
841	 0,164906755889694 
842	 0,165186635112394 
843	 0,165183433569992 
844	 0,16506665739709 
845	 0,165340337393129 
846	 0,166098216493092 
847	 0,16588966144273 
848	 0,165271464248247 
849	 0,165251152250107 
850	 0,165272647713266 
851	 0,165349579013626 
852	 0,166040013209509 
853	 0,166191322948697 
854	 0,165374851884392 
855	 0,16530575381335 
856	 0,165701337083935 
857	 0,165899043455701 
858	 0,166076620234696 
859	 0,166234453578491 
860	 0,166281258857718 
861	 0,166474353216135 
862	 0,166867786762016 
863	 0,166888839751513 
864	 0,166696596693451 
865	 0,166583666096663 
866	 0,166765009258148 
867	 0,167201228480392 
868	 0,167612055142688 
