Wavelength	CHO-GIL00059.asd
580	 0,031929821115442 
581	 3,15297788826891E-02 
582	 3,16951760337699E-02 
583	 0,032788926213797 
584	 3,33397514185638E-02 
585	 3,33136588611171E-02 
586	 3,29916011179042E-02 
587	 3,30080433160298E-02 
588	 3,34205705646157E-02 
589	 3,33168312308541E-02 
590	 3,34036879107799E-02 
591	 3,42984216732876E-02 
592	 3,44778779703311E-02 
593	 3,40193245752761E-02 
594	 3,39856008860993E-02 
595	 3,39767607751522E-02 
596	 3,38138880286522E-02 
597	 3,34356641981084E-02 
598	 3,30337571031204E-02 
599	 3,28863590785925E-02 
600	 3,30802177205482E-02 
601	 3,34437518547115E-02 
602	 3,32598582966006E-02 
603	 3,29144922604901E-02 
604	 3,27705633922554E-02 
605	 3,32483306952273E-02 
606	 3,38239054427804E-02 
607	 3,29816487197162E-02 
608	 3,24829653194118E-02 
609	 3,27932542969559E-02 
610	 3,23084393685709E-02 
611	 3,18909759869086E-02 
612	 3,27433239139886E-02 
613	 3,30985030626671E-02 
614	 3,27557016896867E-02 
615	 0,03264179037409 
616	 3,23458812412508E-02 
617	 3,17387536399281E-02 
618	 3,20979454709654E-02 
619	 3,27007793591607E-02 
620	 3,17192256042752E-02 
621	 3,10986897797064E-02 
622	 3,13710380866675E-02 
623	 3,17656616193079E-02 
624	 3,19506839511551E-02 
625	 3,16646705331959E-02 
626	 3,18545123480263E-02 
627	 3,25009781577074E-02 
628	 3,30379211303479E-02 
629	 3,29734884886422E-02 
630	 0,032230052025249 
631	 3,23622020213052E-02 
632	 3,29812366274672E-02 
633	 3,31439693430182E-02 
634	 0,033314607177966 
635	 3,35521209068687E-02 
636	 3,36289451200307E-02 
637	 3,36778812684855E-02 
638	 0,033828979928691 
639	 3,42344502786951E-02 
640	 3,46606415859529E-02 
641	 3,44523750772321E-02 
642	 3,42364799820453E-02 
643	 3,42743771026193E-02 
644	 3,44257924035059E-02 
645	 3,46343872258135E-02 
646	 3,48429576794727E-02 
647	 3,48870217387013E-02 
648	 3,47784182808802E-02 
649	 3,47649172575469E-02 
650	 3,45690214503379E-02 
651	 3,40785762910962E-02 
652	 3,40602353255783E-02 
653	 3,42708593380736E-02 
654	 3,39651203191182E-02 
655	 3,37667680876853E-02 
656	 3,38307175063001E-02 
657	 3,38214964164368E-02 
658	 3,39277007879808E-02 
659	 3,43399489798745E-02 
660	 3,45213712159813E-02 
661	 3,43560230498562E-02 
