Wavelength	SCORFF200689.asd
522	 8,05834189167047E-02 
523	 7,89141639966027E-02 
524	 7,85777493983491E-02 
525	 7,95388465227656E-02 
526	 8,05230121963152E-02 
527	 8,05482852602265E-02 
528	 7,95827632817572E-02 
529	 0,079880952947294 
530	 8,06012838139061E-02 
531	 8,05917920711678E-02 
532	 7,94599484514452E-02 
533	 7,80691886293584E-02 
534	 7,94721893628079E-02 
535	 8,04901384229333E-02 
536	 7,94083807931298E-02 
537	 7,87315078950526E-02 
538	 7,85530140295813E-02 
539	 7,83598524596342E-02 
540	 7,84887128519505E-02 
541	 7,88684090510626E-02 
542	 7,87827006936589E-02 
543	 7,86464562949141E-02 
544	 7,88952777620992E-02 
545	 0,079394672262907 
546	 7,99131948908807E-02 
547	 7,98597434510015E-02 
548	 8,00401103028615E-02 
549	 8,07263944107489E-02 
550	 8,09143548151566E-02 
551	 8,06608019612325E-02 
552	 8,02052932023492E-02 
553	 8,02223802954402E-02 
554	 8,06566960328749E-02 
555	 8,04219259481838E-02 
556	 7,98804754105146E-02 
557	 7,93766076155213E-02 
558	 7,89377993895645E-02 
559	 7,87241082900713E-02 
560	 7,91805937533542E-02 
561	 7,91750693409354E-02 
562	 7,83904778536312E-02 
563	 7,81008634075935E-02 
564	 7,79418323148802E-02 
565	 7,72713776552033E-02 
566	 7,73142332027203E-02 
567	 7,80908405846556E-02 
568	 7,85301982534853E-02 
569	 7,89439909034582E-02 
570	 7,95115604313323E-02 
571	 7,97584160261714E-02 
572	 0,080005650933841 
573	 8,11312412595961E-02 
574	 8,20666370791588E-02 
575	 8,25426250971607E-02 
576	 8,34364118932883E-02 
577	 0,084053122505844 
578	 8,36092963722797E-02 
579	 8,43218282224769E-02 
580	 8,61250309522442E-02 
581	 8,72533955212182E-02 
582	 8,77457267391432E-02 
583	 8,76766827353602E-02 
584	 8,76533452494147E-02 
585	 8,80875135710013E-02 
586	 8,95819359002968E-02 
587	 9,02581090225387E-02 
588	 8,99697817355028E-02 
589	 9,09712131423166E-02 
590	 9,21342918843668E-02 
591	 9,23579217108702E-02 
592	 9,27700947774999E-02 
593	 9,33870999420701E-02 
594	 9,37196237657656E-02 
595	 0,093676583415411 
596	 9,32855989535441E-02 
597	 9,30728812348955E-02 
598	 9,31251518366452E-02 
599	 9,34879793079672E-02 
600	 9,32948028041206E-02 
601	 9,26527655400902E-02 
602	 9,30540005621217E-02 
603	 9,33882653560792E-02 
604	 9,28367858888474E-02 
605	 9,28935512192005E-02 
606	 9,31247067731247E-02 
607	 9,18160353456311E-02 
608	 9,05595500032924E-02 
609	 9,00387872118938E-02 
610	 9,03482697707096E-02 
611	 9,05601935779835E-02 
612	 8,95497892509468E-02 
613	 8,86894743925777E-02 
614	 8,84109989364034E-02 
615	 8,89057634319776E-02 
616	 8,94544727826493E-02 
617	 8,94956223840637E-02 
618	 8,85209016201371E-02 
619	 8,75180344136049E-02 
620	 8,86189434410864E-02 
621	 8,92935172178841E-02 
622	 0,088825128651044 
623	 0,088132936552793 
624	 8,77336746911607E-02 
625	 8,80723029172672E-02 
626	 8,82608299886734E-02 
627	 0,088252194748685 
628	 8,85363354713532E-02 
629	 8,88221507338867E-02 
630	 8,89635028715634E-02 
631	 8,90296897659575E-02 
632	 8,91416026894509E-02 
633	 8,94709976883346E-02 
634	 8,98400080196803E-02 
635	 9,03164882491308E-02 
636	 9,14144501117059E-02 
637	 9,24731326443628E-02 
638	 9,29416295313261E-02 
639	 9,33905671737145E-02 
640	 9,39258111683609E-02 
641	 9,45287913775179E-02 
642	 9,51801512573769E-02 
643	 9,58132989328017E-02 
644	 9,60594985540036E-02 
645	 9,64550104608548E-02 
646	 9,77355045118526E-02 
647	 9,77347428929454E-02 
648	 9,64392545582154E-02 
649	 9,57586374460515E-02 
650	 9,54779049631837E-02 
651	 9,53980296050985E-02 
652	 9,49517476360665E-02 
653	 9,42863893851982E-02 
654	 9,39137163641175E-02 
655	 9,35562463338662E-02 
656	 9,29904140067503E-02 
657	 9,16934727892543E-02 
658	 9,00194955997653E-02 
659	 8,83883674796503E-02 
660	 8,70491920056218E-02 
661	 8,60385076580559E-02 
662	 8,52673762480708E-02 
663	 8,43161972865733E-02 
664	 8,30859781910633E-02 
665	 8,26156847772933E-02 
666	 8,24433208986812E-02 
667	 8,16520399900174E-02 
668	 0,081206707071314 
669	 8,11740623926829E-02 
670	 8,07563632796174E-02 
671	 8,01815550960434E-02 
672	 7,96891888983551E-02 
673	 7,96648640716026E-02 
674	 7,99811917635282E-02 
675	 8,02480703142648E-02 
676	 8,01352830319977E-02 
677	 7,96242890087719E-02 
678	 7,94368984508202E-02 
679	 0,07966302503206 
680	 8,03151490656343E-02 
681	 0,080748036350105 
682	 8,09873808942675E-02 
683	 8,16057818592893E-02 
684	 0,082701938612141 
685	 0,084202768029157 
686	 8,49405767734699E-02 
687	 8,55361058735237E-02 
688	 0,087347173293708 
689	 0,089400596266891 
690	 9,16140306674251E-02 
691	 9,48501839942508E-02 
692	 0,098575592932784 
693	 0,102326883341138 
694	 0,106911943755084 
695	 0,112290354810474 
696	 0,117962422995353 
697	 0,12415144439265 
698	 0,130960837960232 
699	 0,138417483587275 
700	 0,146490172791873 
701	 0,155150795692266 
702	 0,163607767115636 
703	 0,171704255505486 
704	 0,179811462792626 
705	 0,18793897595005 
706	 0,196026676017879 
707	 0,203461648515386 
708	 0,21069921924271 
709	 0,21877124661728 
710	 0,226144439728803 
711	 0,232503049485285 
712	 0,238779654588362 
713	 0,244828150276594 
714	 0,2504746851003 
715	 0,255740445877883 
716	 0,260659872223043 
717	 0,265282082733718 
718	 0,269853501412666 
719	 0,274330714830397 
720	 0,277724975902567 
721	 0,280764440708684 
722	 0,284489541825918 
723	 0,287457581398776 
724	 0,28963183092687 
725	 0,292031825447673 
726	 0,294554447696805 
727	 0,297080108072354 
728	 0,299132490062802 
729	 0,300755498378602 
730	 0,302138240690426 
731	 0,303650954670315 
732	 0,305281340503115 
733	 0,306329728763876 
734	 0,307411750134321 
735	 0,309010932266856 
736	 0,30985247306734 
737	 0,310362693981494 
738	 0,312301799297773 
739	 0,313604762728572 
740	 0,313690033702134 
741	 0,314071782364743 
742	 0,314698396714395 
743	 0,315363841033899 
744	 0,316215668930412 
745	 0,317095279558212 
746	 0,317483371133902 
747	 0,317760582372769 
748	 0,3181399796441 
749	 0,318505794375535 
750	 0,318983887215523 
751	 0,31978789869964 
752	 0,320342719399611 
753	 0,320598669964433 
754	 0,321036885931134 
755	 0,321544386485669 
756	 0,322019740759015 
757	 0,322295952588127 
758	 0,322623988085084 
759	 0,323573301105715 
760	 0,324473624786984 
761	 0,325096675162412 
762	 0,325585349000008 
763	 0,325958374367134 
764	 0,326258625805535 
765	 0,326961625336964 
766	 0,327794842766174 
767	 0,327797830869657 
768	 0,327813136287904 
769	 0,328173485246541 
770	 0,328651501437675 
771	 0,32920232533618 
772	 0,32978336537382 
773	 0,330185118991628 
774	 0,330395877169242 
775	 0,330526074315224 
776	 0,330778908856773 
777	 0,331183859755522 
778	 0,33110202485089 
779	 0,330861789976224 
780	 0,331043018790656 
781	 0,331146307902392 
782	 0,331154875454234 
783	 0,331471873538138 
784	 0,331816289995211 
785	 0,332019613434212 
786	 0,3323632454392 
787	 0,332731188509225 
788	 0,332845817474506 
789	 0,333079189378568 
790	 0,333477222200565 
791	 0,333730366932365 
792	 0,333955471440828 
793	 0,334255167533657 
794	 0,334614922599306 
795	 0,335008795621988 
796	 0,335429096723426 
797	 0,335513243626127 
798	 0,335297268205814 
799	 0,335551325064678 
800	 0,33603528022951 
