Wavelength	GRA-VIE00427.asd
639	 0,02866281350851 
640	 0,028774322051475 
641	 2,89435310737262E-02 
642	 2,92909290098123E-02 
643	 2,97261237652949E-02 
644	 2,94146010674635E-02 
645	 2,91769700688598E-02 
646	 3,01603824362214E-02 
647	 0,030627081953033 
648	 3,04050350288565E-02 
649	 3,05701498541596E-02 
650	 3,06870743082066E-02 
651	 3,04571682826863E-02 
652	 2,98902906734164E-02 
653	 2,93138843873051E-02 
654	 2,93113224258148E-02 
655	 2,97695750844329E-02 
656	 3,03812938906931E-02 
657	 2,99552539890039E-02 
658	 2,91777889720329E-02 
659	 2,88339246187314E-02 
660	 2,85661258081036E-02 
661	 2,82534866805078E-02 
662	 2,77218154420788E-02 
663	 2,71977443335488E-02 
664	 2,68006592091545E-02 
665	 2,64133805584465E-02 
666	 2,61711749963482E-02 
667	 2,62943525882136E-02 
668	 2,64967388860361E-02 
669	 2,66658956398203E-02 
670	 2,68031130511268E-02 
671	 2,67778535898226E-02 
672	 2,65085045551997E-02 
673	 2,62429207892909E-02 
674	 2,61503645304902E-02 
675	 2,65400781315598E-02 
676	 2,68085230790507E-02 
677	 2,67538508431059E-02 
678	 2,67150394480887E-02 
679	 2,67210774917559E-02 
680	 2,67722577726531E-02 
681	 2,68137592468504E-02 
682	 2,68641101575064E-02 
683	 2,70379487787878E-02 
684	 2,71583805421844E-02 
685	 2,71744273265378E-02 
686	 2,75490375328899E-02 
687	 2,81465452630201E-02 
688	 2,85588288117272E-02 
689	 2,97113480865372E-02 
690	 3,14155817449154E-02 
691	 3,15916780260841E-02 
692	 3,17947536007239E-02 
693	 0,033451744216816 
694	 3,53722794616036E-02 
695	 3,73059207992882E-02 
696	 3,91415558370709E-02 
697	 4,14839269523271E-02 
698	 4,44712709881593E-02 
699	 0,047228962195218 
700	 5,00856126824904E-02 
701	 5,35627457756181E-02 
702	 5,67703615354937E-02 
703	 5,98170466314486E-02 
704	 6,38840173165062E-02 
705	 6,79461065111902E-02 
706	 7,13408740301552E-02 
707	 7,44755083424729E-02 
708	 0,077585800956535 
709	 0,080987595012636 
710	 8,43288809737183E-02 
711	 8,75096992451822E-02 
712	 9,06487627578123E-02 
713	 9,36172969898017E-02 
714	 9,62974897986124E-02 
715	 0,098620693858644 
716	 0,100729594877525 
717	 0,102999000524665 
718	 0,105257729882698 
719	 0,107347028480181 
720	 0,108714792049951 
721	 0,109932348322318 
722	 0,111787084000815 
723	 0,113453941060347 
724	 0,11478236854283 
725	 0,115987782585129 
726	 0,117185625594512 
727	 0,118431985004877 
728	 0,119529835166897 
729	 0,120474974036608 
730	 0,121332598179472 
731	 0,121821423518536 
732	 0,122089712480512 
733	 0,123085897269721 
734	 0,124190252045429 
735	 0,124832894899516 
736	 0,125293734540364 
737	 0,12568117144876 
738	 0,126103897262995 
739	 0,126702852923519 
740	 0,127462491699434 
741	 0,127955251750576 
742	 0,128300133003188 
743	 0,128676366630327 
744	 0,1288710625005 
745	 0,129051484520426 
746	 0,129840852093201 
747	 0,130666628077465 
748	 0,131185759896416 
749	 0,131388347843449 
750	 0,131501956950485 
751	 0,131874139187998 
752	 0,132248421188472 
753	 0,132536022872932 
754	 0,132659770836607 
755	 0,132812862381894 
756	 0,133164560562938 
757	 0,133932202926198 
758	 0,134697896913553 
759	 0,134514597209172 
760	 0,134768468415563 
761	 0,135640760144371 
762	 0,135685624938803 
763	 0,135514572905699 
764	 0,135758511817035 
765	 0,136023974142225 
766	 0,136246101927586 
767	 0,136420137544678 
768	 0,136664072614013 
769	 0,137013537557224 
770	 0,137343529004423 
771	 0,137716890042194 
772	 0,138213675429017 
773	 0,138555153422993 
774	 0,138723218590869 
775	 0,138888654930887 
