Wavelength	BELON00273.asd
556	 0,310915317800959 
557	 0,310097887959138 
558	 0,309774358540052 
559	 0,30972477956485 
560	 0,30933679413526 
561	 0,30877449585296 
562	 0,30826813403386 
563	 0,308938098360078 
564	 0,309427513846272 
565	 0,307847181656149 
566	 0,30745083038329 
567	 0,308617204408277 
568	 0,309487604663869 
569	 0,310398305760027 
570	 0,311448974039797 
571	 0,31131097616751 
572	 0,31087833641054 
573	 0,312573438462338 
574	 0,313864596296361 
575	 0,31413430769787 
576	 0,315120660247379 
577	 0,316596220733203 
578	 0,318153686911521 
579	 0,318985995357504 
580	 0,319271567723603 
581	 0,320206082631154 
582	 0,321277771899017 
583	 0,322249760573371 
584	 0,323619433074088 
585	 0,32512980466057 
586	 0,326227301994357 
587	 0,327378816450026 
588	 0,328613612281349 
