Wavelength	BLAVET00359.asd
437	 1,59003728616767E-02 
438	 0,013412927453106 
439	 1,04955666834924E-02 
440	 1,06105777050267E-02 
441	 1,19019152726158E-02 
442	 1,16995898342015E-02 
443	 1,27940910442489E-02 
444	 1,44148638806542E-02 
445	 1,16080374350558E-02 
446	 1,05489942046756E-02 
447	 1,44021211058378E-02 
448	 1,54565934910979E-02 
449	 1,38495580359307E-02 
450	 1,16556702699275E-02 
451	 1,17068808675557E-02 
452	 1,39780187741758E-02 
453	 1,34041108668564E-02 
454	 1,27500341043409E-02 
455	 0,014605822661464 
456	 1,54474860825034E-02 
457	 1,43750915320366E-02 
458	 9,83551702728121E-03 
459	 1,03422060554591E-02 
460	 1,76293699853873E-02 
461	 1,75954159032604E-02 
462	 1,35527817744896E-02 
463	 1,16779486183257E-02 
464	 1,19693375826052E-02 
465	 1,43202077034564E-02 
466	 1,81848512773824E-02 
467	 1,96669877271338E-02 
468	 1,65552522859045E-02 
469	 1,37873692931463E-02 
470	 1,27452065221981E-02 
471	 1,46081841111356E-02 
472	 1,60665348486805E-02 
473	 1,58689396273816E-02 
474	 1,40057831521883E-02 
475	 1,27925157627392E-02 
476	 1,43264195678352E-02 
477	 1,30638977200655E-02 
478	 1,05476227192545E-02 
479	 1,46383506775584E-02 
480	 1,67525741868659E-02 
481	 1,35468918083646E-02 
482	 1,13776228130482E-02 
483	 1,13607132972633E-02 
484	 1,40911712847154E-02 
485	 1,33304251351068E-02 
486	 9,70268222767868E-03 
487	 1,24779792830188E-02 
488	 1,60807868270372E-02 
489	 1,61108354220309E-02 
490	 0,013501898300406 
491	 1,02688077583024E-02 
492	 1,03401349055452E-02 
493	 1,18275258269663E-02 
494	 0,01385936455856 
495	 1,56571380980652E-02 
496	 1,61736349850066E-02 
497	 1,44414488379734E-02 
498	 1,52698262313905E-02 
499	 1,75103551927795E-02 
500	 1,35882850692462E-02 
501	 1,17204422595167E-02 
502	 1,56040280218657E-02 
503	 1,46916759148861E-02 
504	 1,16119649454229E-02 
505	 1,33198670805583E-02 
506	 1,42791373499255E-02 
507	 0,013506207606136 
508	 1,41628312859251E-02 
509	 1,43524875416822E-02 
510	 0,012498100954148 
511	 1,33047858764182E-02 
512	 1,57959964369115E-02 
513	 1,50406235648051E-02 
514	 1,46522328127925E-02 
515	 1,58733461652753E-02 
516	 1,62396055966527E-02 
517	 1,60433690397098E-02 
518	 1,60285484450682E-02 
519	 1,59439410728783E-02 
520	 1,59533372434264E-02 
521	 1,69565214542956E-02 
522	 1,71783640830074E-02 
523	 1,55298344665517E-02 
524	 0,014780991201401 
525	 0,014970005173592 
526	 1,51903132766977E-02 
527	 1,50565502658299E-02 
528	 1,45927981214024E-02 
529	 1,49847030726365E-02 
530	 0,015627958583527 
531	 1,57455534474686E-02 
532	 1,53444761167244E-02 
533	 1,49899824359978E-02 
534	 1,66995714289769E-02 
535	 1,72151270535623E-02 
536	 1,50454843736201E-02 
537	 1,48681398343313E-02 
538	 1,60837397202651E-02 
539	 1,65155345371047E-02 
540	 1,57301529569951E-02 
541	 1,41476030441352E-02 
542	 1,47387750695534E-02 
543	 0,015354736858714 
544	 1,39183366817331E-02 
545	 1,45180694671158E-02 
546	 1,65696356305143E-02 
547	 1,62307800483656E-02 
548	 1,55169541316131E-02 
549	 1,53961770947347E-02 
550	 1,54845451945695E-02 
551	 1,57604054149112E-02 
552	 1,62277538434609E-02 
553	 1,68888229401975E-02 
554	 1,74099316520341E-02 
555	 1,64272941499209E-02 
556	 1,60574180223999E-02 
557	 1,78041358725279E-02 
558	 1,71716332816636E-02 
559	 1,49445618966928E-02 
560	 1,50533487572159E-02 
561	 1,56081098235942E-02 
