Wavelength	CAMFROU00649.asd
661	 6,26906646323543E-02 
662	 6,21055901446265E-02 
663	 6,12372201577068E-02 
664	 0,060029375020437 
665	 5,98311221930314E-02 
666	 5,99620558366986E-02 
667	 5,91297086294841E-02 
668	 5,83412274453893E-02 
669	 5,79268472748155E-02 
670	 5,80629377536477E-02 
671	 5,79929968801424E-02 
672	 5,71601716181314E-02 
673	 5,64822572914909E-02 
674	 5,61886316024432E-02 
675	 5,64435051074765E-02 
676	 5,66106838607149E-02 
677	 5,64680965882843E-02 
678	 5,63678194062949E-02 
679	 5,63374826493472E-02 
680	 5,63777960603845E-02 
681	 5,70125396582233E-02 
682	 5,80123300911875E-02 
683	 0,058245873863443 
684	 5,85471533890085E-02 
685	 5,94330260834607E-02 
686	 6,06978226447276E-02 
687	 6,23293237361985E-02 
688	 6,43952701292558E-02 
689	 6,62011916189444E-02 
690	 6,76805225174374E-02 
691	 6,95938015132031E-02 
692	 0,071836455334657 
693	 7,43031721755977E-02 
694	 7,73298711548199E-02 
695	 8,06667432642861E-02 
696	 8,35642707987153E-02 
697	 8,65337616540381E-02 
698	 8,98336456758496E-02 
699	 9,37040523018554E-02 
700	 9,76402285443182E-02 
701	 0,10097327344733 
702	 0,104348583370523 
703	 0,107753550759359 
704	 0,110578224295855 
705	 0,113445639923715 
706	 0,116640948331715 
707	 0,119037374245182 
708	 0,120928575629009 
709	 0,123131932792161 
710	 0,125279064784609 
711	 0,12726607154993 
712	 0,12901239677686 
713	 0,130892246743019 
714	 0,133193314501666 
715	 0,134941279060446 
716	 0,136059304512475 
717	 0,13686243683965 
718	 0,137615518285498 
719	 0,138468452712381 
720	 0,139322006753461 
721	 0,140218939762469 
722	 0,141222963334458 
723	 0,141903139484231 
724	 0,142348191918234 
725	 0,143245113918758 
726	 0,143999401886295 
727	 0,14433127833978 
728	 0,145166311333888 
729	 0,146138048285711 
730	 0,146378320930133 
731	 0,146537083007796 
732	 0,146851567752733 
733	 0,147435606563512 
734	 0,1479418197608 
735	 0,148089059246134 
736	 0,148373061567463 
737	 0,148761953693054 
738	 0,148939166572006 
739	 0,149079351801094 
740	 0,149310187159642 
741	 0,149946923253025 
742	 0,150626128931848 
743	 0,150904566559642 
744	 0,150908064911681 
745	 0,150814293656547 
746	 0,151043710512021 
747	 0,151370013439878 
748	 0,151645340366532 
749	 0,15168266774085 
750	 0,151816574499302 
751	 0,152609376354818 
752	 0,152921660427836 
753	 0,152669004814327 
754	 0,152817269125751 
755	 0,153099613174617 
756	 0,153284938849694 
757	 0,153133475261209 
758	 0,152948443639001 
759	 0,153442113181383 
760	 0,153748943485676 
761	 0,1537146147257 
762	 0,154054657591268 
763	 0,154465153037302 
764	 0,154641444513445 
765	 0,154919080079473 
766	 0,155223306528322 
767	 0,155159141724562 
768	 0,155318323893243 
769	 0,155815085155563 
770	 0,155796133747192 
771	 0,155723376977499 
772	 0,156206995197574 
773	 0,15658176978687 
774	 0,156700206856028 
775	 0,156537936714131 
776	 0,156733834219748 
777	 0,157479551235911 
778	 0,157583018770859 
779	 0,157251869473077 
780	 0,156989660969849 
781	 0,156924702683646 
782	 0,157139637728346 
783	 0,157729377495409 
784	 0,158118993688036 
785	 0,158003996694739 
786	 0,158364877369004 
787	 0,158779159534414 
788	 0,158218450387744 
789	 0,158076162175684 
790	 0,158620248955861 
791	 0,159099335809623 
792	 0,159284663883386 
793	 0,159055863499256 
794	 0,159007633218158 
795	 0,159260021241409 
796	 0,159881487579364 
797	 0,160099725143812 
798	 0,159774203103101 
799	 0,159672617558956 
800	 0,15977668138446 
801	 0,160031066768378 
802	 0,160476760830041 
803	 0,160885916682203 
804	 0,160667419681173 
805	 0,160580189087768 
806	 0,160875497683246 
807	 0,161247151023735 
808	 0,161412416836318 
809	 0,161115575624607 
810	 0,160762738656765 
811	 0,160673759869657 
812	 0,161484342817944 
813	 0,16208703653292 
814	 0,162039210948434 
815	 0,16195651024478 
816	 0,161890359693042 
817	 0,1618474283882 
818	 0,162162507645614 
819	 0,162678710455624 
820	 0,162739965493951 
821	 0,162624358306449 
822	 0,162524269227779 
823	 0,162764969925571 
824	 0,163131637921198 
825	 0,163303084043865 
826	 0,163461776531771 
827	 0,163643801354735 
828	 0,163837895079988 
829	 0,164048008188835 
830	 0,164229242034487 
831	 0,164109656240508 
832	 0,163852248722336 
833	 0,16371451203537 
834	 0,164165759152157 
835	 0,164886907491126 
836	 0,164423788457878 
837	 0,164077104995602 
838	 0,164493816139411 
839	 0,164877429869444 
840	 0,164953975026696 
841	 0,164479522057248 
842	 0,164491754117433 
843	 0,164978374502979 
844	 0,164923368763781 
845	 0,164863074015792 
846	 0,165064376892603 
847	 0,165300248303902 
848	 0,165294245502288 
849	 0,164710620270152 
850	 0,164353841033362 
851	 0,164325769164185 
852	 0,164101808866581 
853	 0,164328365806082 
854	 0,165154990312388 
855	 0,165137078993561 
856	 0,164749203598883 
857	 0,164860105650802 
858	 0,165005209161149 
859	 0,165066283940126 
860	 0,165004454132707 
861	 0,1649090968306 
862	 0,164827389041503 
863	 0,164645089664597 
864	 0,164694154056374 
865	 0,165387346604715 
866	 0,165685098415691 
867	 0,165536447746293 
868	 0,165610913698888 
869	 0,165730436382232 
870	 0,165859259588339 
871	 0,16627729844011 
872	 0,166492445107132 
873	 0,165933822037631 
874	 0,165824689726753 
875	 0,16631247159327 
876	 0,167064360182077 
877	 0,167319456880318 
878	 0,166876893729915 
879	 0,166776685006831 
880	 0,166992848826652 
881	 0,167386539257948 
882	 0,167799563721979 
883	 0,167979299950748 
884	 0,167263682392799 
885	 0,167364173121689 
886	 0,168452466063135 
887	 0,167866498709623 
888	 0,167018827520403 
889	 0,167338317647974 
890	 0,167839663680565 
891	 0,168082380055832 
892	 0,167434149210437 
893	 0,1673244682413 
894	 0,167958013317718 
895	 0,167912443594926 
896	 0,167812694891647 
897	 0,168194544142962 
898	 0,169047407942738 
899	 0,169729579647352 
900	 0,169131124978141 
901	 0,168721047685253 
902	 0,168850184239948 
903	 0,169031140246668 
904	 0,169267987628091 
905	 0,169501603818209 
906	 0,169343041760736 
907	 0,16919154734192 
908	 0,169663849528512 
909	 0,16964479618984 
910	 0,169164305864553 
911	 0,169244821423203 
912	 0,169145143931597 
913	 0,168743338425575 
914	 0,169516507364536 
915	 0,170165461215015 
916	 0,169235108124667 
917	 0,169279052839494 
918	 0,170112833260207 
919	 0,169865278498921 
920	 0,170073183381253 
921	 0,170951803120686 
922	 0,17105413002073 
923	 0,170702334045498 
924	 0,170276367938925 
925	 0,170080060948935 
926	 0,170393915812066 
927	 0,171643365902513 
928	 0,171693345360599 
929	 0,17036408773144 
930	 0,169282382449772 
931	 0,169549295391471 
932	 0,171389260937538 
933	 0,1716218216161 
934	 0,170706089265374 
935	 0,169778963325526 
936	 0,17024871549688 
937	 0,171628299624657 
938	 0,171700097892955 
939	 0,170713035008787 
940	 0,169145513797704 
941	 0,168967373141956 
942	 0,169556545729221 
943	 0,170125307205226 
944	 0,169591485720211 
945	 0,168909932134624 
946	 0,170200856335599 
947	 0,171248931905551 
948	 0,17145140973629 
949	 0,171189924959345 
950	 0,170891207653004 
951	 0,170734648861327 
952	 0,169920544909986 
953	 0,16923776212621 
954	 0,169668676458885 
955	 0,17011276331082 
956	 0,170204760343027 
957	 0,169709546523169 
958	 0,168976692441946 
959	 0,168221012623146 
960	 0,167503777901591 
961	 0,167739302967709 
962	 0,169292369729434 
963	 0,169291585082953 
964	 0,1685812768214 
965	 0,169072962358479 
966	 0,169911770205234 
967	 0,170442205916611 
968	 0,169138940618314 
969	 0,168654564873562 
970	 0,169729829314908 
971	 0,169736792095058 
972	 0,168805217375452 
973	 0,167415379153583 
974	 0,167545866355296 
975	 0,168844735052818 
976	 0,17004515526808 
977	 0,1700133574774 
978	 0,169065692784324 
979	 0,169574102426887 
980	 0,170350906040922 
981	 0,17079077154172 
982	 0,171120262872129 
983	 0,171200884795373 
984	 0,170889407060023 
985	 0,170133574046268 
986	 0,169445289501705 
987	 0,169678420424074 
988	 0,17155807589135 
989	 0,17390357076663 
990	 0,171669425380864 
991	 0,171017103273794 
992	 0,174264787936019 
