Wavelength	GOOSE00003.asd
683	-3,05218001147755E-04 
684	-5,81796649558603E-04 
685	-4,63069732710026E-04 
686	-5,47846654123627E-04 
687	-7,38780433858703E-04 
688	-7,41913950670108E-04 
689	-5,95314652266673E-04 
690	-3,7268335427556E-04 
691	-3,09661482519633E-04 
692	-4,44741584898218E-04 
693	-7,57867635267012E-04 
694	-5,80808388519242E-04 
695	-8,4370337666094E-05 
696	 7,34511019064355E-06 
697	-1,97335906410455E-04 
698	-5,97068268678344E-04 
699	-7,88306440514521E-04 
700	-7,7309098417215E-04 
701	-6,14784290766704E-04 
702	-7,10651531065619E-04 
703	-9,44048188366288E-04 
704	-5,27229494320393E-04 
705	-1,59361784321487E-04 
706	-2,72557539793536E-04 
707	-4,92447319311428E-04 
708	-6,51634813422529E-04 
709	-5,69904408640816E-04 
710	-2,62527669782206E-04 
711	 1,67936432069795E-04 
712	 4,1064895252233E-04 
713	 2,4004006213852E-04 
714	-4,6512249111147E-04 
715	-5,85001258823815E-04 
716	-1,75139243926296E-04 
717	 6,65527571488939E-06 
718	 1,91981577857282E-04 
719	 3,7654805447499E-04 
720	 1,24312454455028E-04 
721	-2,37239851733505E-04 
722	-2,47681867530577E-04 
723	-2,23175805513006E-04 
724	-2,47039518828357E-04 
725	-3,68618104121312E-04 
726	-3,19126764173071E-04 
727	-1,75070580447875E-05 
728	-2,81973048609557E-04 
729	-7,3684634763376E-04 
730	-5,11388260711988E-04 
731	-3,10019117820668E-04 
732	-3,04075538193945E-04 
733	-2,41914860717939E-04 
734	-2,32961401421798E-04 
735	-3,66670853448991E-04 
736	-4,59102852472446E-04 
737	-5,11277170813639E-04 
738	-6,602785987529E-04 
739	-5,87534187422397E-04 
740	-2,50541395774313E-04 
741	-1,4900807724737E-04 
742	-1,21085162219723E-04 
743	 6,35347375579991E-05 
744	 4,42678425888193E-05 
745	-1,37358840334581E-04 
746	-8,49398917547255E-05 
747	-1,5173863684919E-04 
748	-4,31651271205302E-04 
749	-1,70784160390829E-04 
750	 2,29779569706466E-04 
751	 2,68786480310328E-05 
752	-1,48798951235465E-04 
753	-1,49923870992454E-04 
754	-7,86219438155384E-05 
755	-1,78600860466835E-04 
756	-5,6674689497802E-04 
757	-5,46805035696318E-04 
758	-3,24764428582873E-04 
