Wavelength	AV0200030.asd
458	 3,69381005449252E-02 
459	 3,67804607232462E-02 
460	 3,67694112497105E-02 
461	 3,68757729942993E-02 
462	 3,70025037908284E-02 
463	 3,70197545473068E-02 
464	 3,71161411439733E-02 
465	 3,72826156314682E-02 
466	 3,72965053998367E-02 
467	 3,72864206338195E-02 
468	 3,73804671373343E-02 
469	 3,79098611688434E-02 
470	 3,84568153003417E-02 
471	 0,038063449024947 
472	 3,77453233485049E-02 
473	 3,78194114099854E-02 
474	 3,79916407097571E-02 
475	 3,81120417775508E-02 
476	 3,80525372673826E-02 
477	 3,80982869770854E-02 
478	 3,81866274469458E-02 
479	 3,79117024336468E-02 
480	 3,78570952357774E-02 
481	 3,82605345244897E-02 
482	 3,86324246354189E-02 
483	 3,87635974754714E-02 
484	 3,84098729251724E-02 
485	 3,82685467548931E-02 
486	 3,84709758756295E-02 
487	 0,038568356230929 
488	 3,85789332135454E-02 
489	 3,85484020186987E-02 
490	 3,87752737068703E-02 
491	 3,90605916171476E-02 
492	 3,88087779687477E-02 
493	 0,03865856972893 
494	 3,88216974559656E-02 
495	 3,90561043521853E-02 
496	 3,93442725290471E-02 
497	 3,96823578873671E-02 
498	 3,95762528312141E-02 
499	 3,91564456783693E-02 
500	 3,92510421585503E-02 
501	 3,93684531849913E-02 
502	 3,92615719535182E-02 
503	 3,94740824858971E-02 
504	 3,98008216903996E-02 
505	 3,97383975377556E-02 
506	 3,98771677251336E-02 
507	 4,02832759040475E-02 
508	 4,04027125668719E-02 
509	 4,05356688850993E-02 
510	 0,040954936556374 
511	 4,10606626897755E-02 
512	 4,09467623927059E-02 
513	 4,12055391989884E-02 
514	 4,14200651872639E-02 
515	 4,14151594256229E-02 
516	 0,041386718755654 
517	 4,14285778574652E-02 
518	 4,16447597123577E-02 
519	 4,17229505710741E-02 
520	 4,16785482137145E-02 
521	 4,18844884407455E-02 
522	 4,21226681063633E-02 
523	 4,22404442394591E-02 
524	 4,24025467711916E-02 
525	 4,25885671184429E-02 
526	 4,27188891527072E-02 
527	 4,26908323637784E-02 
528	 4,25246077762577E-02 
529	 4,25375851108764E-02 
530	 4,26266122345266E-02 
531	 4,26452243686661E-02 
532	 4,29093845266091E-02 
533	 4,32826244702578E-02 
534	 4,31019797822431E-02 
535	 4,29114189691518E-02 
536	 4,30449111237748E-02 
537	 4,33151142523497E-02 
538	 4,35633588642096E-02 
539	 4,35431100400549E-02 
540	 4,34519344826146E-02 
541	 4,33858233331418E-02 
542	 4,34140356757639E-02 
543	 4,35707749936482E-02 
544	 4,38734844266968E-02 
545	 4,41397132882147E-02 
546	 4,42821136159334E-02 
547	 4,41734038535615E-02 
548	 4,41270013222829E-02 
549	 4,42880690812971E-02 
550	 4,44068246561462E-02 
551	 4,44814105694947E-02 
552	 4,45496547598933E-02 
553	 4,47700902484413E-02 
554	 0,045058775199926 
555	 4,48700866121112E-02 
556	 4,46427778247709E-02 
557	 4,47638457327415E-02 
558	 4,49152051107628E-02 
559	 4,50254207264049E-02 
560	 4,50875308189874E-02 
561	 4,50359194605643E-02 
562	 4,49120538131501E-02 
563	 4,51550655671425E-02 
564	 4,54144519562345E-02 
565	 4,51649555897529E-02 
566	 4,49167443625115E-02 
567	 0,044843637684398 
568	 4,49900156802881E-02 
569	 4,53365516092192E-02 
570	 4,58062106308455E-02 
571	 4,58428703176774E-02 
572	 4,56562460774636E-02 
573	 4,59184825613888E-02 
574	 4,61876192993458E-02 
575	 4,63761845539067E-02 
576	 4,68675972601773E-02 
577	 4,73019138450597E-02 
578	 4,72541334886411E-02 
579	 4,74441170750476E-02 
580	 4,78684765934279E-02 
581	 4,79458462055227E-02 
582	 4,80551845932672E-02 
583	 4,84162722126576E-02 
584	 4,89768393743335E-02 
585	 4,94714944015563E-02 
586	 4,94415529004212E-02 
587	 4,92570827422319E-02 
