Wavelength	BEL100053.asd
406	 1,87616673100326E-02 
407	 1,86355811949032E-02 
408	 1,85625166629252E-02 
409	 1,84665875141239E-02 
410	 1,83678396599291E-02 
411	 1,84180436656906E-02 
412	 0,018479171618566 
413	 1,84290551045603E-02 
414	 1,86548510950053E-02 
415	 0,019021706152177 
416	 1,90002583043394E-02 
417	 1,89123262643143E-02 
418	 1,89022898327981E-02 
419	 1,89358996853075E-02 
420	 0,018998519006758 
421	 1,90744863935584E-02 
422	 1,89809581904201E-02 
423	 1,88142437723396E-02 
424	 0,019075044451136 
425	 1,93236802862742E-02 
426	 1,92687703983447E-02 
427	 1,91570485300548E-02 
428	 0,019079572258804 
429	 0,019127849290123 
430	 1,92710217890732E-02 
431	 1,93980726764178E-02 
432	 1,91094412614934E-02 
433	 0,018829377018804 
434	 1,89161402076555E-02 
435	 1,90102619331737E-02 
436	 1,91148884542728E-02 
437	 0,019401390344525 
438	 1,97757007137499E-02 
439	 2,01517970865592E-02 
440	 2,03111280883269E-02 
441	 2,03800057067328E-02 
442	 2,05514772356252E-02 
443	 0,020756150479572 
444	 2,09905516803704E-02 
445	 2,13112873847183E-02 
446	 2,15181567641072E-02 
447	 2,15176991636481E-02 
448	 0,021691600950104 
449	 2,19996376462018E-02 
450	 2,22811523022122E-02 
451	 2,23482177234025E-02 
452	 2,21901784665052E-02 
453	 2,21014152629152E-02 
454	 2,20511735462784E-02 
455	 2,19937418470018E-02 
456	 2,18745091451303E-02 
457	 2,17339738830593E-02 
458	 2,17103186731262E-02 
459	 2,17077353341785E-02 
460	 0,021659425883429 
461	 2,14460339164333E-02 
462	 2,11769199494698E-02 
463	 0,021010318797324 
464	 2,10703173788868E-02 
465	 2,12784992238135E-02 
466	 2,12348099347492E-02 
467	 2,11041422321595E-02 
468	 2,10258003586906E-02 
469	 2,11570683810447E-02 
470	 2,12998753629342E-02 
471	 2,09539397485462E-02 
472	 2,09802103305502E-02 
473	 2,14869422589176E-02 
474	 2,15129983974096E-02 
475	 2,13143454528481E-02 
476	 0,021216264991568 
477	 2,13083934989551E-02 
478	 0,021525547144594 
479	 2,16299575225206E-02 
480	 2,16090348274168E-02 
481	 2,14886161280068E-02 
482	 2,15564459779012E-02 
483	 2,16850742686395E-02 
484	 2,16107180737448E-02 
485	 2,16330450481271E-02 
486	 2,17345968678233E-02 
487	 2,14611147583192E-02 
488	 2,13006093462294E-02 
489	 2,15802675306073E-02 
490	 2,15528830044037E-02 
491	 2,12776964940297E-02 
492	 2,11305195631028E-02 
493	 2,12411535627662E-02 
494	 2,15877762739699E-02 
495	 2,16980471689233E-02 
496	 2,16504843229232E-02 
497	 2,15864479852577E-02 
498	 0,021677575883093 
499	 2,18840111496025E-02 
500	 2,18971127380427E-02 
501	 0,021953766051393 
502	 2,21465488023445E-02 
503	 2,19496400971379E-02 
504	 2,17641942026265E-02 
505	 2,24443961504834E-02 
506	 2,30313372062509E-02 
507	 2,33207035231445E-02 
508	 2,39445705970433E-02 
509	 2,44989634335953E-02 
510	 2,46061181390878E-02 
511	 2,50156145710269E-02 
512	 2,56265209725713E-02 
513	 2,57468941389059E-02 
514	 2,57590333947141E-02 
515	 2,58509883119353E-02 
516	 2,59949662235389E-02 
517	 2,62592495403146E-02 
518	 2,67334146340707E-02 
519	 2,73015408791941E-02 
520	 2,79423988099907E-02 
521	 2,87888688317461E-02 
522	 2,94381958919927E-02 
523	 2,96210549886892E-02 
524	 3,00142592570071E-02 
525	 3,05599651167278E-02 
526	 3,07946769862228E-02 
527	 3,11826486054015E-02 
528	 3,18314379798247E-02 
529	 3,23380925808872E-02 
530	 3,27628075605993E-02 
531	 3,32167182813303E-02 
532	 3,34696886964303E-02 
533	 3,35974329441502E-02 
534	 3,40237021404992E-02 
535	 0,034437580893001 
536	 3,46303797213123E-02 
537	 3,45796798875775E-02 
538	 3,45101837607153E-02 
539	 3,48765488958137E-02 
540	 3,49916801456794E-02 
541	 3,47778986513843E-02 
542	 3,49895797529522E-02 
543	 0,035365822647256 
544	 3,56058093924376E-02 
545	 0,035889761587735 
546	 3,62039491456089E-02 
547	 3,64421021418194E-02 
548	 3,65976082640526E-02 
549	 3,66802576788787E-02 
550	 3,68061838363689E-02 
551	 3,69395943022822E-02 
552	 3,70024224228672E-02 
553	 0,037026938068745 
554	 3,69697054257871E-02 
555	 3,66351303020748E-02 
556	 3,62515266875501E-02 
557	 3,60146752625548E-02 
558	 3,57982115072993E-02 
559	 3,55334507326237E-02 
560	 3,50788115669511E-02 
561	 3,47160966024238E-02 
562	 3,45473608270602E-02 
563	 3,44045247070025E-02 
564	 3,41825695394967E-02 
565	 3,37725571797412E-02 
566	 3,31720570111458E-02 
567	 3,24955936689821E-02 
568	 3,20512727029916E-02 
569	 3,18847565597639E-02 
570	 0,031995108397366 
571	 3,20204558188423E-02 
572	 3,20480138721296E-02 
573	 3,24547609376077E-02 
574	 3,26339026940451E-02 
575	 0,032494922492034 
576	 3,27962769803208E-02 
577	 3,31858687389793E-02 
578	 3,32244252620212E-02 
579	 3,35585407187524E-02 
580	 3,41941487388057E-02 
581	 3,47185982460517E-02 
582	 3,50874341190826E-02 
583	 3,52713606837047E-02 
584	 3,54345471294742E-02 
585	 3,54324091686805E-02 
586	 3,49751746645268E-02 
587	 3,42570174376313E-02 
588	 3,35261737500771E-02 
589	 3,34362586974108E-02 
590	 3,36424155929709E-02 
591	 3,37633567792437E-02 
592	 0,033906122502822 
593	 3,40401542454063E-02 
594	 3,40570308253746E-02 
595	 3,41337828134078E-02 
596	 3,43483623639387E-02 
597	 0,034631658444383 
598	 3,48040862554663E-02 
599	 3,46096982345294E-02 
600	 3,46013526152537E-02 
601	 3,47950167448856E-02 
602	 3,45696697486831E-02 
603	 3,43605789035653E-02 
604	 3,44830105554168E-02 
605	 3,43047364188059E-02 
606	 0,033831511092794 
607	 3,33349015816381E-02 
608	 3,28541843690777E-02 
609	 3,24325526849843E-02 
610	 3,20867737040035E-02 
611	 3,17250584482045E-02 
612	 3,12301083328637E-02 
613	 3,09855788019787E-02 
614	 3,09823451189307E-02 
615	 3,08336996218507E-02 
616	 0,030667709355223 
617	 3,05595794358546E-02 
618	 3,04186944680091E-02 
619	 3,02306035596349E-02 
620	 2,99617477202047E-02 
621	 2,98916120487198E-02 
622	 3,00680044480497E-02 
623	 3,01894003293222E-02 
624	 3,02247467930203E-02 
625	 3,01719630286153E-02 
626	 3,03083904718324E-02 
627	 3,05804564036281E-02 
628	 3,06175734048844E-02 
629	 3,06304289534885E-02 
630	 3,07236212227831E-02 
631	 3,07808575417375E-02 
632	 3,08941364142753E-02 
633	 3,12323455727565E-02 
634	 3,15153985594091E-02 
635	 3,16850816107634E-02 
636	 0,031855076495353 
637	 3,21638641644783E-02 
638	 3,26936482478935E-02 
639	 3,28718556694862E-02 
640	 3,29054439562082E-02 
641	 3,36622488402073E-02 
642	 3,42302613306154E-02 
643	 3,42732580094073E-02 
644	 3,42208349506012E-02 
645	 3,43119955777097E-02 
646	 3,48202807927499E-02 
647	 3,49839509905851E-02 
648	 3,47164603321281E-02 
649	 3,45924903310276E-02 
650	 3,44747237948521E-02 
651	 3,42600456137009E-02 
652	 3,38638145784715E-02 
653	 3,34023094197689E-02 
654	 3,31346977331294E-02 
655	 3,28326251313922E-02 
656	 3,23751531691304E-02 
657	 3,16013439953009E-02 
658	 3,07972707079588E-02 
659	 3,01802895053616E-02 
660	 2,94495398684826E-02 
661	 0,028627345086859 
662	 2,79396725399883E-02 
663	 2,73571324346754E-02 
664	 2,68708253727303E-02 
665	 2,64340305197293E-02 
666	 2,60099543958298E-02 
667	 2,55479003591642E-02 
668	 2,52312959817321E-02 
669	 2,50968458783559E-02 
670	 2,50682325744778E-02 
671	 2,49985079349149E-02 
672	 0,024796832725921 
673	 2,48991358283524E-02 
674	 0,025138980599763 
675	 0,024913192545315 
676	 0,024746523041858 
677	 0,024839824428563 
678	 2,51146846173024E-02 
679	 2,54420452881352E-02 
680	 2,56738988819381E-02 
681	 2,58056103161845E-02 
682	 2,59327455499551E-02 
683	 2,63347332940536E-02 
684	 2,69223007940265E-02 
685	 0,027690551120537 
686	 2,87337795017795E-02 
687	 2,99409703291466E-02 
688	 3,07445717088666E-02 
689	 3,17080280879701E-02 
690	 3,29607099176304E-02 
691	 3,41704627432212E-02 
692	 3,57273063819925E-02 
693	 3,79914829515716E-02 
694	 4,05208764083383E-02 
695	 4,31938504875071E-02 
696	 0,046296667971093 
697	 0,049513634272828 
698	 5,30122137269814E-02 
699	 5,71467185402515E-02 
700	 6,16274922962574E-02 
701	 6,58276824716903E-02 
702	 0,070051820785141 
703	 7,43127593794579E-02 
704	 7,87730029306023E-02 
705	 8,31008733705338E-02 
706	 8,70779374103202E-02 
707	 9,09917031298407E-02 
708	 9,48323593445476E-02 
709	 9,85392921108103E-02 
710	 0,102178565057996 
711	 0,105676117489024 
712	 0,108644394864257 
713	 0,111508808098734 
714	 0,114681663228013 
715	 0,117339865294785 
716	 0,119772186742397 
717	 0,122869576971047 
718	 0,126035533018672 
719	 0,128251065762138 
720	 0,129695667296798 
721	 0,130681441597455 
722	 0,131912665792372 
723	 0,133710353464607 
724	 0,135997216408053 
725	 0,137272806645546 
726	 0,138209298045759 
727	 0,139344455965256 
728	 0,1402774912421 
729	 0,141118208057216 
730	 0,142093180268578 
731	 0,14283973999721 
732	 0,143295971748896 
733	 0,143711468437822 
734	 0,144206860919631 
735	 0,144880035207863 
736	 0,145539415213291 
737	 0,14609908158667 
738	 0,146335267139114 
739	 0,147318943346274 
740	 0,149419086941094 
741	 0,152055987243429 
742	 0,154928632031424 
743	 0,157701683128855 
744	 0,159368317238046 
745	 0,160100096673818 
746	 0,161330795893648 
747	 0,161977092174178 
748	 0,161618532998502 
749	 0,161535253894914 
750	 0,161607381134377 
751	 0,161359297114852 
752	 0,161753203821281 
753	 0,162682206935365 
754	 0,162889504177705 
755	 0,162461929248114 
756	 0,161266739482649 
757	 0,156600375073922 
758	 0,15089354059274 
759	 0,150690971531276 
760	 0,154118930469149 
761	 0,159432114899128 
762	 0,161571451553349 
763	 0,161128950236077 
764	 0,160726988455945 
765	 0,159845551399932 
766	 0,158971345009315 
767	 0,158355876951627 
768	 0,157870792114666 
769	 0,157534276745539 
770	 0,157574436991712 
771	 0,158109941866003 
772	 0,159240918313772 
773	 0,15964340667177 
774	 0,159344866053425 
775	 0,159484532757408 
776	 0,159694660919025 
777	 0,159810137416189 
778	 0,159913392814149 
779	 0,160034877862412 
780	 0,160208775297211 
781	 0,160350564667921 
782	 0,160487188688725 
783	 0,16081766015965 
784	 0,161083759347504 
785	 0,161137759367095 
786	 0,161333726862009 
787	 0,161623271784641 
788	 0,161782357292702 
789	 0,162332377898311 
790	 0,163212656777109 
791	 0,163488792681352 
792	 0,163449489554905 
793	 0,163405384840704 
794	 0,163711938828319 
795	 0,164223034042965 
796	 0,164472908889679 
797	 0,164564865432918 
798	 0,16458632154369 
799	 0,164809806728412 
800	 0,165171094576573 
801	 0,165575679314386 
802	 0,165855112706515 
803	 0,166059832306077 
804	 0,166494063642605 
805	 0,16654132210612 
806	 0,166164986796699 
807	 0,166353412020258 
808	 0,166807150703367 
809	 0,167106671357951 
810	 0,166955647787327 
811	 0,166500549478138 
812	 0,1664069825834 
813	 0,166762398744554 
814	 0,167668393015004 
815	 0,168792032389291 
816	 0,170070021775301 
817	 0,17140456861581 
818	 0,172078573897637 
819	 0,171804963767445 
820	 0,170002475726031 
821	 0,169272478182497 
822	 0,170696387524175 
823	 0,172531840509618 
824	 0,173256215935027 
825	 0,171559038603286 
826	 0,170882179522481 
827	 0,171433241626633 
828	 0,171373552413508 
829	 0,171540795962461 
830	 0,172243552830709 
831	 0,172663421638144 
832	 0,172990091957005 
833	 0,173578328809066 
834	 0,173512471119647 
835	 0,172960542189847 
836	 0,172998242207537 
837	 0,173223892786657 
838	 0,173423709942982 
839	 0,173585034402009 
840	 0,173543981674312 
841	 0,173092849904496 
842	 0,173474285972285 
843	 0,17446545278534 
844	 0,174305977718568 
845	 0,174016128013403 
846	 0,17409674889349 
847	 0,173911376093788 
848	 0,17373665909218 
849	 0,174054416265606 
850	 0,174057913868476 
851	 0,173812604290259 
852	 0,174230373950333 
853	 0,175119737271404 
854	 0,176117663016705 
855	 0,175714819571698 
856	 0,174862955956215 
857	 0,1750291892325 
858	 0,175227715041982 
859	 0,175215856627184 
860	 0,174898515507161 
861	 0,174739195131487 
862	 0,174957402798287 
863	 0,175158922014446 
864	 0,175399588386922 
865	 0,175804216492166 
866	 0,176201490769611 
867	 0,176487177226491 
868	 0,176541162846326 
869	 0,176388501379045 
870	 0,176174827086499 
871	 0,17657145953593 
872	 0,177207932256008 
873	 0,177569345266003 
874	 0,177978543498319 
875	 0,178316444539052 
876	 0,178027750384796 
877	 0,178003772520147 
878	 0,178467872122774 
879	 0,178179446243627 
880	 0,177976162558919 
881	 0,178815130151339 
882	 0,179427585386767 
883	 0,17953488882622 
884	 0,179103733345052 
