Wavelength	AURAY00776.asd
532	 2,16846314143617E-02 
533	 2,30383705491298E-02 
534	 0,022322942367043 
535	 2,16435753693589E-02 
536	 2,21306278510073E-02 
537	 2,20481950715148E-02 
538	 2,16188810578058E-02 
539	 2,16333913425066E-02 
540	 2,19659180704405E-02 
541	 0,022412042380771 
542	 2,21343926370067E-02 
543	 2,19427639356753E-02 
544	 2,26012977327878E-02 
545	 2,25934409241755E-02 
546	 2,18636700183597E-02 
547	 2,09677476505882E-02 
548	 2,09571150398773E-02 
549	 2,20741075964039E-02 
550	 2,17682794980029E-02 
551	 2,11539285981225E-02 
552	 2,24842080064393E-02 
553	 2,25389654107864E-02 
554	 0,021191076042319 
555	 2,18564519446941E-02 
556	 2,25048978139624E-02 
557	 2,15031433849229E-02 
558	 2,10719737973466E-02 
559	 2,12125374277433E-02 
560	 2,08949953242027E-02 
561	 2,06449433407895E-02 
562	 2,06339104019472E-02 
563	 2,05901587454491E-02 
564	 2,07747426348055E-02 
565	 2,15580625529545E-02 
566	 2,18801065406381E-02 
567	 2,15420781368621E-02 
568	 2,08192297292443E-02 
569	 0,020610556544327 
570	 2,14327176025049E-02 
571	 2,16452808625569E-02 
572	 2,13936081758537E-02 
573	 2,15040393096327E-02 
574	 2,22603382872115E-02 
575	 2,34389666232951E-02 
576	 2,32246556280533E-02 
577	 2,26146780961451E-02 
578	 2,28704379963355E-02 
579	 2,33983609727142E-02 
580	 0,023896589379927 
581	 2,38395148041774E-02 
582	 2,37089646753818E-02 
583	 2,38018110695364E-02 
584	 2,40754534024068E-02 
585	 2,44193372396075E-02 
586	 2,46986110435268E-02 
587	 2,44138714197537E-02 
588	 2,37528970266587E-02 
589	 2,41870876026878E-02 
590	 2,50820686429007E-02 
591	 0,025709227748478 
592	 2,49336757117194E-02 
593	 2,34187958507756E-02 
594	 2,34919863683257E-02 
595	 2,41480550148776E-02 
596	 2,48382880646248E-02 
597	 2,51151786988223E-02 
598	 2,49926246049539E-02 
599	 2,45887329948587E-02 
600	 0,024370315899026 
601	 2,43502704179866E-02 
602	 0,023841968157457 
603	 2,36837022431546E-02 
604	 2,44015981194859E-02 
605	 2,39563886186383E-02 
606	 2,28109706977625E-02 
607	 2,29146012478304E-02 
608	 2,32906993613985E-02 
609	 2,35773590020126E-02 
610	 2,37802665363092E-02 
611	 2,38346685474141E-02 
612	 2,36795558416866E-02 
613	 2,35797934468088E-02 
614	 2,33824748015234E-02 
615	 2,21973564293211E-02 
616	 2,15462779300128E-02 
617	 2,22895210697321E-02 
618	 0,022688847502562 
619	 2,26070783190434E-02 
620	 2,22847851627981E-02 
621	 0,022116254618807 
622	 2,23201177203422E-02 
623	 2,31908864793767E-02 
624	 2,36581510333147E-02 
625	 2,26855975654285E-02 
626	 2,22506312974476E-02 
627	 2,25753760415462E-02 
628	 2,29309403890372E-02 
629	 2,34002637128658E-02 
630	 2,38749695645714E-02 
631	 2,35083050980692E-02 
632	 2,29696465309437E-02 
633	 2,35015029725249E-02 
634	 2,37010282324599E-02 
635	 2,34587889685246E-02 
636	 2,40919583227525E-02 
637	 2,47790487707138E-02 
638	 2,48348722642798E-02 
639	 2,51932445470502E-02 
640	 2,57399061746778E-02 
641	 0,025799906964033 
642	 2,56025674457594E-02 
643	 2,53819222915621E-02 
644	 2,59366605204322E-02 
645	 2,67083586347614E-02 
646	 2,68828166128302E-02 
647	 2,71529838405073E-02 
648	 2,75213938455356E-02 
649	 2,74455052370797E-02 
650	 2,71259611180453E-02 
