Wavelength	SCO-GRA00647.asd
459	 3,00116974724085E-02 
460	 2,79637726464361E-02 
461	 2,37693919302305E-02 
462	 2,18219147350611E-02 
463	 2,78170509962679E-02 
464	 3,06689209698357E-02 
465	 2,85031174972669E-02 
466	 2,52128093648645E-02 
467	 0,024203678696746 
468	 2,73039717475297E-02 
469	 2,87177316165262E-02 
470	 2,86187685237956E-02 
471	 2,92835262872262E-02 
472	 2,93226131582827E-02 
473	 2,85420122141838E-02 
474	 2,79286722043023E-02 
475	 2,74502485190931E-02 
476	 2,69564762770445E-02 
477	 2,46806778206711E-02 
478	 2,25766255666959E-02 
479	 2,73735540763558E-02 
480	 0,029618945185172 
481	 2,60130911589207E-02 
482	 2,70969696848407E-02 
483	 3,02588407180825E-02 
484	 3,00909105339462E-02 
485	 2,80749615167601E-02 
486	 2,56990742437294E-02 
487	 2,70949633366128E-02 
488	 2,91434413793063E-02 
489	 2,93368640170466E-02 
490	 2,78755706059514E-02 
491	 0,026157848752174 
492	 2,74660783607365E-02 
493	 2,77325658917482E-02 
494	 2,62173649524716E-02 
495	 2,70617070998955E-02 
496	 2,86617630488604E-02 
497	 2,89062590915967E-02 
498	 2,95126307570959E-02 
499	 2,99732014104788E-02 
500	 2,72798030605341E-02 
501	 2,61389117447679E-02 
502	 2,87534597746523E-02 
503	 2,96670761242374E-02 
504	 2,90037757190657E-02 
505	 0,028253295977123 
506	 2,75822152400309E-02 
507	 2,74538021604919E-02 
508	 2,92362797794417E-02 
509	 0,030551754044857 
510	 0,029401333829766 
511	 2,97068812051986E-02 
512	 3,10220654165918E-02 
513	 3,02947387683507E-02 
514	 2,89135732803302E-02 
515	 2,79980045414607E-02 
516	 3,06708997683625E-02 
517	 3,36946018210891E-02 
518	 3,23034051983731E-02 
519	 3,09703016599831E-02 
520	 3,08880417374844E-02 
521	 3,18581782135049E-02 
522	 3,24809078068956E-02 
523	 3,18453982695345E-02 
524	 3,17715108115797E-02 
525	 3,21117522916941E-02 
526	 3,19366229226785E-02 
527	 3,12811283953694E-02 
528	 3,04161110099101E-02 
529	 0,030728954531055 
530	 3,13977868342696E-02 
531	 3,13826921842684E-02 
532	 3,16707353507188E-02 
533	 0,032135300407556 
534	 3,16222978677132E-02 
535	 0,031549093718202 
536	 3,25784290600945E-02 
537	 3,28059712386883E-02 
538	 3,24242399784678E-02 
539	 3,22698808051008E-02 
540	 3,20503817200193E-02 
541	 3,17730538005395E-02 
542	 3,16245887113584E-02 
543	 3,19074932598693E-02 
544	 3,28447392858056E-02 
545	 0,033202253475459 
546	 0,033010953450405 
547	 3,31364838378298E-02 
548	 3,32557655605398E-02 
549	 3,32522974557211E-02 
550	 3,33392861803783E-02 
551	 3,34469601768301E-02 
552	 3,34490355852926E-02 
553	 3,31357279933118E-02 
554	 0,032681719503487 
555	 3,29721435082806E-02 
556	 3,34394267253368E-02 
557	 3,35855824709918E-02 
558	 3,35883097849471E-02 
559	 3,34726345397619E-02 
560	 0,033147915030212 
561	 3,32730747071093E-02 
562	 3,39351639973036E-02 
563	 3,38441169100874E-02 
564	 3,35020263140143E-02 
565	 0,03372491262209 
566	 3,35764495633504E-02 
